Gender,Stat,Age,5th,10th,25th,50th,75th,90th,95th
M,W,60.5,15.23202,15.84814,16.99698,18.48592,20.26086,22.17744,23.50833
M,W,61.5,15.37087,15.99546,17.16103,18.6735,20.47929,22.4327,23.79136
M,W,62.5,15.51027,16.14334,17.32567,18.8618,20.69871,22.68943,24.07632
M,W,63.5,15.65023,16.29176,17.49088,19.05077,20.91907,22.94758,24.36317
M,W,64.5,15.79076,16.44074,17.65664,19.24037,21.14031,23.20712,24.65192
M,W,65.5,15.93186,16.59026,17.82293,19.43058,21.36242,23.46802,24.94257
M,W,66.5,16.07356,16.74033,17.98974,19.62136,21.58534,23.73029,25.23514
M,W,67.5,16.21586,16.89096,18.15706,19.8127,21.80908,23.99391,25.52965
M,W,68.5,16.35879,17.04215,18.32489,20.00459,22.0336,24.2589,25.82615
M,W,69.5,16.50235,17.19393,18.49324,20.19703,22.25893,24.52527,26.12468
M,W,70.5,16.64657,17.34629,18.66211,20.39002,22.48505,24.79305,26.4253
M,W,71.5,16.79146,17.49926,18.83151,20.58357,22.712,25.06229,26.72807
M,W,72.5,16.93704,17.65285,19.00147,20.7777,22.93978,25.33302,27.03308
M,W,73.5,17.08332,17.80708,19.17199,20.97243,23.16845,25.6053,27.34039
M,W,74.5,17.23031,17.96197,19.34311,21.16779,23.39803,25.87919,27.6501
M,W,75.5,17.37804,18.11754,19.51485,21.36383,23.62858,26.15477,27.9623
M,W,76.5,17.52651,18.2738,19.68724,21.56058,23.86016,26.4321,28.27709
M,W,77.5,17.67574,18.43077,19.86032,21.75811,24.09284,26.71128,28.59457
M,W,78.5,17.82572,18.58848,20.03413,21.95645,24.32667,26.99239,28.91486
M,W,79.5,17.97649,18.74695,20.20871,22.15567,24.56175,27.27553,29.23806
M,W,80.5,18.12803,18.9062,20.38409,22.35584,24.79815,27.56081,29.56428
M,W,81.5,18.28036,19.06624,20.56032,22.55702,25.03598,27.84832,29.89365
M,W,82.5,18.43348,19.2271,20.73745,22.7593,25.27531,28.13817,30.22628
M,W,83.5,18.5874,19.3888,20.91553,22.96273,25.51626,28.43049,30.56228
M,W,84.5,18.74211,19.55136,21.0946,23.16742,25.75894,28.72538,30.90178
M,W,85.5,18.89763,19.71479,21.27471,23.37343,26.00344,29.02298,31.24489
M,W,86.5,19.05395,19.87913,21.45592,23.58086,26.24988,29.3234,31.59174
M,W,87.5,19.21107,20.04438,21.63828,23.78979,26.49839,29.62676,31.94243
M,W,88.5,19.369,20.21057,21.82185,24.00031,26.74907,29.9332,32.29708
M,W,89.5,19.52773,20.37771,22.00666,24.21251,27.00204,30.24283,32.65581
M,W,90.5,19.68727,20.54584,22.19278,24.42648,27.25743,30.55579,33.01871
M,W,91.5,19.84762,20.71496,22.38027,24.64231,27.51535,30.8722,33.38591
M,W,92.5,20.00878,20.88511,22.56917,24.8601,27.77593,31.19218,33.75749
M,W,93.5,20.17076,21.05629,22.75955,25.07992,28.03928,31.51586,34.13355
M,W,94.5,20.33357,21.22855,22.95145,25.30189,28.30554,31.84335,34.5142
M,W,95.5,20.4972,21.4019,23.14493,25.52607,28.5748,32.17478,34.8995
M,W,96.5,20.66168,21.57637,23.34005,25.75257,28.84718,32.51025,35.28955
M,W,97.5,20.82702,21.75198,23.53686,25.98146,29.12281,32.84988,35.68443
M,W,98.5,20.99322,21.92878,23.73542,26.21284,29.40179,33.19377,36.08419
M,W,99.5,21.16032,22.10678,23.93579,26.44679,29.68422,33.54202,36.4889
M,W,100.5,21.32832,22.28602,24.13801,26.68339,29.97021,33.89472,36.89862
M,W,101.5,21.49726,22.46654,24.34216,26.92273,30.25986,34.25197,37.3134
M,W,102.5,21.66716,22.64838,24.54828,27.16489,30.55326,34.61384,37.73327
M,W,103.5,21.83805,22.83157,24.75645,27.40995,30.85051,34.98041,38.15826
M,W,104.5,22.00997,23.01617,24.9667,27.65797,31.15169,35.35176,38.58841
M,W,105.5,22.18296,23.20222,25.17912,27.90904,31.45689,35.72793,39.02372
M,W,106.5,22.35705,23.38976,25.39375,28.16324,31.76618,36.10899,39.46421
M,W,107.5,22.5323,23.57885,25.61067,28.42064,32.07964,36.49499,39.90987
M,W,108.5,22.70876,23.76955,25.82993,28.6813,32.39734,36.88596,40.36069
M,W,109.5,22.88648,23.96192,26.05161,28.9453,32.71933,37.28193,40.81665
M,W,110.5,23.06551,24.15601,26.27576,29.21271,33.04569,37.68294,41.27773
